Time,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,X,Y,Z
0 days 00:00:13.756000,165.0,10277.0,4,71.0,False,0,783.6733333333334,0.2376689234014538,-2284.1680965848773,-2756.5879050526955,876.4007057288214
0 days 00:00:13.919000,168.26000128,10382.54254144,4,67.73999872,False,0,791.4077515470968,0.2400145829662406,-2310.0,-2679.0,880.0
0 days 00:00:14.139000,172.66000128,10524.99254144,4,63.33999872,False,0,802.0699582597974,0.2432481690571603,-2379.0,-2531.0,884.0
0 days 00:00:14.156000,173.0,10536.0,4,63.0,False,0,802.8955555555557,0.243498552491303,-2383.3807626244625,-2522.2710609149003,884.2277303849212
0 days 00:00:14.436000,175.0,10680.0,4,42.0,False,0,816.5066666666668,0.2476264690433638,-2427.818237600486,-2448.861864517576,886.0463011096534
0 days 00:00:14.499000,174.68499968,10631.48995072,4,31.60498944,False,0,819.5640676092219,0.2485537038483723,-2441.0,-2431.0,886.0
0 days 00:00:14.636000,174.0,10526.0,4,9.0,False,0,826.1733333333334,0.2505581322272764,-2479.919151562905,-2378.626703336181,885.3755930227595
0 days 00:00:14.719000,172.270832,10393.8915648,4,6.5791648,False,0,830.1200690189257,0.2517550804727335,-2506.0,-2345.0,885.0
0 days 00:00:14.876000,169.0,10144.0,4,2.0,False,0,837.44,0.2539750362140435,-2554.192600541282,-2287.3925439548734,884.8199718348576
0 days 00:00:14.939000,166.89999786666667,10024.562378666667,4,2.0,False,0,840.3114446271118,0.2548458750241759,-2573.0,-2265.0,885.0
0 days 00:00:15.099000,161.56666453333332,9721.229045333332,4,2.0,False,0,847.4315062417916,0.2570052152831014,-2619.0,-2208.0,886.0
0 days 00:00:15.116000,161.0,9689.0,4,2.0,True,0,848.1733333333334,0.2572301932665257,-2623.674982378357,-2202.0080666814056,886.0978307373204
0 days 00:00:15.399000,153.06542351227006,9094.788383030002,4,2.0,True,0,860.1520448513521,0.2608630430128794,-2693.0,-2103.0,887.0
0 days 00:00:15.437000,152.0,9015.0,4,2.0,True,0,861.7266666666667,0.261340587234039,-2700.553944041193,-2089.261096507382,887.0437840243485
0 days 00:00:15.659000,147.8375024,8767.3313928,4,2.6937496,True,0,870.8048688641766,0.264093783560786,-2735.0,-2008.0,890.0
0 days 00:00:15.719000,146.7125024,8700.3938928,4,2.8812496,True,0,873.2021397504705,0.2648208170917391,-2741.0,-1986.0,893.0
0 days 00:00:15.757000,146.0,8658.0,4,3.0,False,0,874.7044444444444,0.2652764293016366,-2743.39822436026,-1969.108798850925,894.4223814958177
0 days 00:00:15.999000,139.9500032,8634.664298057143,4,34.97855451428572,False,0,884.0466125319801,0.268109680016135,-2738.0,-1832.0,895.0
0 days 00:00:16.037000,139.0,8631.0,4,40.0,False,0,885.5155555555556,0.2685551744487021,-2736.068674943799,-1816.3713845417108,894.9390705541314
0 days 00:00:16.360000,141.6916672,8837.361152,4,58.8416704,False,0,898.2331705360275,0.2724121155134011,-2710.0,-1740.0,895.0
0 days 00:00:16.397000,142.0,8861.0,4,61.0,False,0,899.7155555555555,0.2728616865740357,-2704.9500128184336,-1728.7690678713034,894.7777976046103
0 days 00:00:16.580000,145.65999616,9513.39431552,4,73.80998656,False,0,907.129352894514,0.2751101096821337,-2672.0,-1659.0,892.0
0 days 00:00:16.597000,146.0,9574.0,4,75.0,False,0,907.8266666666668,0.2753215878662842,-2668.1402686320184,-1651.6162467288427,891.491139263233
0 days 00:00:16.799000,151.0499968,9932.5497728,4,79.20833066666667,False,0,916.289980273922,0.2778883035472803,-2615.0,-1560.0,883.0
0 days 00:00:16.837000,152.0,10000.0,4,80.0,False,0,917.96,0.278394779617696,-2604.991920714408,-1544.8388403251704,881.3993346729903
0 days 00:00:16.979000,159.1177914952781,10206.415953363065,4,86.7619019205142,False,0,924.4812712098162,0.280372521416123,-2569.0,-1495.0,876.0
0 days 00:00:17.200000,170.1955006855542,10527.669519881072,4,97.28572565127652,False,0,935.2518995385054,0.2836389891270358,-2508.0,-1418.0,869.0
0 days 00:00:17.236000,172.0,10580.0,4,99.0,False,0,937.0233333333332,0.2841762216000394,-2492.6732544691927,-1400.1407565021216,867.398424375484
0 days 00:00:17.440000,177.82857874285713,11041.91486537143,4,99.0,False,0,947.1465648711584,0.2872463497243497,-2390.0,-1285.0,857.0
0 days 00:00:17.516000,180.0,11214.0,4,99.0,False,0,951.0233333333332,0.2884220786250163,-2363.264793666625,-1256.4443518487749,854.4910481400418
0 days 00:00:17.916000,195.0,10894.0,4,99.0,False,0,972.69,0.2949930478303376,-2269.210781670703,-1152.1401451064378,844.7658854519211
